item_gallery_id,item_id,original_name,encrypted_name,file_path,width,height,size,default,for_web,order,status,updated_by,updated_date
296,49998,"Liga Undercrown Limited Dogma Dojo Sungrown Box (24)_5SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,720614,1,0,2,active,124,"2022-12-19 14:43:36"
297,49998,"Liga Undercrown Limited Dogma Dojo Sungrown Box (24)_6SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1336276,0,0,1,active,124,"2022-12-19 14:43:38"
298,49998,"Liga Undercrown Limited Dogma Dojo Sungrown Box (24)_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,973681,0,0,0,active,124,"2022-12-19 14:43:40"
299,50008,"Viaje Limited Holiday Blend 2022 Box (30)_1SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,1218914,0,0,2,active,124,"2022-12-19 14:59:52"
300,50008,"Viaje Limited Holiday Blend 2022 Box (30)_3SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,954612,1,0,1,active,124,"2022-12-19 14:59:53"
301,50008,"Viaje Limited Holiday Blend 2022 Box (30)_2SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,964533,0,0,0,active,124,"2022-12-19 14:59:54"
302,49995,"Arturo Fuente Sungrown Double Chateau Humibag (5)_1SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,821055,1,0,1,active,124,"2022-12-19 15:04:59"
303,49995,"Arturo Fuente Sungrown Double Chateau Humibag (5)_2SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,977486,0,0,0,active,124,"2022-12-19 15:05:03"
304,47866,"Opus X 20th Anniversary Limited FFOX Ashtray Box (20)_2SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,861136,1,0,1,active,124,"2022-12-19 15:31:11"
305,47866,"Opus X 20th Anniversary Limited FFOX Ashtray Box (20)_1SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,486142,0,0,0,active,124,"2022-12-19 15:31:13"
306,47164,"Alec Bradley Black Market Churchill Box (24)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,623959,0,0,2,active,124,"2022-12-20 09:51:46"
307,47164,"Alec Bradley Black Market Churchill Box (24)_6SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,681156,1,0,1,active,124,"2022-12-20 09:51:48"
308,47164,"Alec Bradley Black Market Churchill Box (24)_7SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,782205,0,0,0,active,124,"2022-12-20 09:51:49"
309,35322,"My Father Le Bijou 1922 Churchill Box (23)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,370600,0,0,2,active,124,"2022-12-20 10:28:01"
310,35322,"My Father Le Bijou 1922 Churchill Box (23)_6SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,732445,1,0,1,active,124,"2022-12-20 10:28:02"
311,35322,"My Father Le Bijou 1922 Churchill Box (23)_7SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,880324,0,0,0,active,124,"2022-12-20 10:28:03"
312,37966,"Hoyo De Monterrey La Amistad Gold Gigante Box (20)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,493341,0,0,2,active,124,"2022-12-20 10:42:12"
313,37966,"Hoyo De Monterrey La Amistad Gold Gigante Box (20)_6SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,898099,1,0,1,active,124,"2022-12-20 10:42:14"
314,37966,"Hoyo De Monterrey La Amistad Gold Gigante Box (20)_7SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,1073866,0,0,0,active,124,"2022-12-20 10:42:15"
315,37416,"Hoyo De Monterrey Black Toro Box (20)_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,694369,1,0,2,active,124,"2022-12-20 10:48:57"
316,37416,"Hoyo De Monterrey Black Toro Box (20)_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,832826,0,0,1,active,124,"2022-12-20 10:48:59"
